cell_id,lon_min,lat_min,lon_max,lat_max,date,year,month,ndvi,rainfall,lst_c,pdsi,vpd,aet,def,lon,lat
0,-14.5,13.5,-13.5,14.5,2001-01-01,2001,1,0.36134,21.539,27.912,0.02,1.513,15.663,67.327,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-02-01,2001,2,0.35481,18.538,29.178,-0.095,1.787,16.942,71.146,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-03-01,2001,3,0.38729,27.195,28.76,-0.537,1.85,18.527,67.077,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-04-01,2001,4,0.39738,45.952,34.14,-0.284,1.918,24.353,65.825,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-05-01,2001,5,0.43168,64.689,36.438,-0.155,2.053,26.341,63.795,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-06-01,2001,6,0.36459,64.953,38.207,-0.487,2.371,27.496,66.14,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-07-01,2001,7,0.34841,48.012,38.043,-0.452,2.406,21.221,70.153,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-08-01,2001,8,0.32131,32.683,35.92,-1.075,2.265,15.095,70.182,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-09-01,2001,9,0.26882,14.396,33.779,-0.695,2.068,9.854,75.974,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-10-01,2001,10,0.28815,18.821,32.051,-0.848,2.047,14.645,72.815,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-11-01,2001,11,0.25358,11.146,30.542,-0.744,2.12,11.891,73.949,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2001-12-01,2001,12,0.26443,16.713,32.239,-0.722,2.074,11.139,73.318,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-01-01,2002,1,0.27396,11.183,32.189,-0.903,2.177,11.077,77.101,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-02-01,2002,2,0.30131,15.521,31.405,-1.292,2.029,8.691,72.241,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-03-01,2002,3,0.32321,22.502,30.965,-0.474,2.115,14.777,71.13,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-04-01,2002,4,0.3488,40.596,34.053,-0.398,2.111,19.32,70.696,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-05-01,2002,5,0.3679,53.099,36.214,-0.598,2.35,22.15,71.661,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-06-01,2002,6,0.34811,53.794,38.43,-0.549,2.596,22.695,70.04,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-07-01,2002,7,0.32694,53.693,37.368,-0.804,2.403,18.532,70.387,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-08-01,2002,8,0.29721,31.039,34.494,-0.68,2.383,19.287,79.717,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-09-01,2002,9,0.26166,17.59,31.253,-0.78,2.091,11.106,72.805,-14.0,14.0
0,-14.5,13.5,-13.5,14.5,2002-10-01,2002,10,0.29738,17.015,31.635,-0.67,1.882,10.387,70.74,-14.0,14.0
